12.09.;Datenerhebung Louisa;;;
from;to;relationship;year;
thbile100;etco200;1;1998;
thbile100;cabu300;1;1998;
joco200;cabu300;2;1998;
etco200;cabu300;2;1998;
besu2100;rili200;1;2004;
thin2100;brbi200;1;2004;
thin2100;migi300;1;2004;
brbi200;migi300;2;2004;
haadosta100;laha200;1;2009;
haadosta100;jaap300;1;2009;
laha200;jaap300;2;2009;
ro2100;leab200;1;2015;
ro2100;stre300;1;2015;
leab200;stre300;2;2015;
thsese100;inbe200;1;1957;
thsese100;erno300;1;1957;
horw100;tege200;1;2004;
pl100;olst200;1;1986;
pl100;gede300;1;1986;
olst200;gede300;2;1986;
thex100;wifr200;1;1973;
thex100;miol300;1;1973;
wifr200;miol300;2;1973;
thirgi100;brbi200;1;1999;
thirgi100;mika300;1;1999;
brbi200;mika300;2;1999;
ru100;roho200;1;2013;
ru100;hazi300;1;2013;
roho200;hazi300;2;2013;
stbyme100;rore200;1;1986;
stbyme100;Jjani300;1;1986;
rore200;Jjani300;2;1986;
thwiofoz100;hest300;1;1939;
thwiofoz100;vifl200;1;1939;
vifl200;hest300;2;1939;
thbaofal100;gipo200;1;1966;
thbaofal100;enmo300;1;1966;
gipo200;enmo300;2;1966;
myfaanmyso100;caanir200;1;2005;
thpaofjoofar100;cathdr200;1;1928;
thpaofjoofar100;riei300;1;1928;
cathdr200;riei300;2;1928;
thha100;pachwo200;1;2016;
thha100;joyewo300;1;2016;
pachwo200;joyewo300;2;2016;
lala100;kira200;1;2023;
lala100;rasa300;1;2023;
kira200;rasa300;2;2023;
an100;srra200;1;2018;
an100;dage300;1;2018;
an100;raf300;1;2018;
srra200;dage300;2;2018;
srra200;raf300;2;2018;
